fips,heart_disease_death_rate,stroke_death_rate,diabetes_prevalence_pct
13243,352.7,93.0,18.9
13245,491.0,91.7,15.9
13247,313.0,86.0,14.7
13249,310.5,97.2,12.1
13251,385.0,89.7,14.1
13253,430.3,77.2,13.4
13255,395.2,99.8,13.6
13257,467.6,102.4,12.1
13259,309.7,99.7,18.4
13261,438.5,95.6,15.1
13263,413.0,100.2,16.0
13265,377.0,79.3,15.7
13267,451.5,84.5,15.0
13269,377.7,99.9,16.0
13271,298.5,88.2,17.6
13273,382.8,108.7,17.3
13275,386.0,91.3,13.1
13277,484.4,97.7,14.3
13279,408.1,99.4,13.6
13281,328.2,80.5,10.3
13283,434.5,103.9,16.1
13285,513.3,132.0,13.3
13287,455.1,91.5,15.6
13289,517.8,84.7,13.7
13291,338.4,77.3,10.2
13293,556.6,115.6,13.5
13295,545.7,81.8,11.1
13297,392.3,88.3,11.3
13299,499.8,102.6,14.7
13301,453.7,106.7,15.5
13303,392.2,89.0,15.9
13305,383.6,74.4,14.1
13307,342.7,105.1,15.5
13309,341.8,90.8,15.1
13311,314.8,79.9,10.1
13313,387.4,71.7,13.0
13315,387.0,84.9,15.2
13317,427.0,88.7,14.4
13319,491.9,91.1,14.1
13321,333.5,103.0,13.6
15001,266.6,77.7,9.6
15003,232.5,77.4,10.5
15005,229.7,86.1,12.9
15007,239.9,77.7,9.3
15009,232.4,77.7,9.6
16001,267.7,72.3,8.0
16003,214.0,48.8,9.3
16005,369.2,73.3,9.1
16007,295.3,63.2,9.0
16009,282.7,72.2,10.0
16011,343.9,63.7,10.1
16013,162.8,56.4,7.7
16015,219.8,57.8,8.2
16017,263.4,72.0,8.4
16019,351.3,61.8,8.9
16021,249.7,69.0,9.4
16023,343.5,56.0,11.1
16025,276.7,53.5,8.4
16027,328.5,74.6,10.5
16029,353.6,68.7,8.7
16031,343.2,69.9,10.2
16033,325.4,75.2,11.5
16035,251.6,63.5,9.2
16037,256.6,53.5,9.0
16039,314.5,69.1,10.2
16041,298.3,70.3,8.5
16043,286.9,92.6,9.0
16045,379.1,75.7,8.7
16047,323.5,72.3,11.0
16049,263.9,52.8,8.8
16051,355.6,63.9,8.7
16053,323.8,72.7,11.7
16055,280.0,72.6,8.0
16057,240.8,52.8,8.4
16059,313.6,57.1,8.6
16061,258.0,62.3,10.5
16063,331.7,57.1,10.4
16065,450.9,67.4,10.7
16067,312.8,60.5,11.0
16069,288.6,61.8,8.8
16071,342.0,73.7,8.4
16073,312.2,73.1,11.1
16075,349.2,78.2,9.6
16077,305.2,70.7,10.6
16079,287.9,70.2,10.2
16081,190.6,48.7,8.0
16083,330.3,70.1,9.9
16085,140.6,29.5,9.2
16087,327.4,76.7,10.7
17001,295.8,72.2,9.6
17003,442.8,96.6,13.8
17005,385.4,105.0,10.3
17007,317.8,68.9,10.4
17009,337.3,100.9,11.4
17011,373.0,81.6,10.1
17013,324.4,66.0,8.5
17015,350.3,70.6,10.3
17017,365.2,73.3,11.2
17019,274.3,63.2,10.6
17021,336.2,62.5,10.1
17023,405.1,80.6,9.4
17025,429.0,91.6,10.9
17027,371.6,93.3,9.3
17029,329.4,66.7,10.4
17031,329.7,83.2,10.7
17033,395.0,75.9,9.9
17035,312.1,73.6,9.2
17037,309.4,82.5,10.6
17039,358.9,62.6,9.6
