fips,lung_cancer_death_rate,lung_cancer_avg_annual_count
37003,44.0,25
37023,44.0,63
28029,44.0,17
37051,43.9,146
01065,43.9,10
45005,43.9,5
13013,43.9,38
17103,43.9,24
54089,43.8,9
54095,43.8,7
01001,43.8,33
26001,43.8,11
48257,43.8,60
05029,43.8,13
13267,43.8,13
27017,43.8,22
17143,43.8,107
18069,43.7,22
18071,43.7,26
54013,43.7,5
31039,43.7,6
45071,43.7,26
17185,43.7,8
29029,43.7,41
18021,43.6,17
21211,43.6,26
39011,43.6,29
48485,43.6,67
19057,43.6,26
26149,43.6,38
20087,43.6,12
46099,43.6,90
51155,43.6,24
13103,43.6,30
39009,43.6,30
13071,43.6,25
28059,43.5,80
48241,43.5,22
01033,43.5,38
37001,43.5,99
13273,43.5,6
51149,43.5,19
31051,43.5,4
39091,43.5,29
54101,43.4,6
13023,43.4,8
48313,43.4,7
17179,43.4,83
17071,43.4,5
37059,43.4,30
28129,43.4,10
39123,43.4,34
38071,43.4,8
17005,43.3,10
42127,43.3,39
17091,43.3,61
28063,43.3,4
22015,43.3,65
42107,43.3,98
12067,43.3,5
36045,43.3,57
51083,43.3,27
54075,43.3,6
21113,43.2,29
47075,43.2,12
29049,43.2,14
53047,43.2,30
23011,43.2,84
13191,43.2,10
29081,43.2,6
19093,43.2,5
51580,43.2,4
26049,43.1,246
06049,43.1,8
13035,43.1,14
29061,43.1,5
39033,43.1,28
51175,43.1,13
39089,43.1,103
39021,43.0,24
17029,43.0,27
32021,43.0,4
26131,43.0,7
37187,43.0,9
47155,43.0,64
29219,43.0,22
01041,43.0,9
37169,43.0,33
21029,43.0,46
51740,43.0,48
12113,43.0,103
48159,43.0,7
17141,43.0,33
31127,43.0,5
24510,42.9,289
17155,42.9,4
51600,42.9,11
13017,42.9,10
48335,42.9,4
51033,42.9,18
13257,42.9,17
42051,42.9,90
29067,42.9,9
28037,42.8,5
36033,42.8,29
37141,42.8,38
05131,42.8,71
55057,42.8,19
29027,42.8,25
17045,42.8,13
20117,42.8,6
29101,42.7,24
28005,42.7,10
41043,42.7,79
13167,42.7,6
51099,42.7,13
53045,42.7,47
55077,42.7,13
40123,42.7,22
41011,42.7,54
17033,42.7,12
36019,42.7,49
48351,42.6,9
17139,42.6,9
08121,42.6,3
26041,42.6,28
01133,42.6,16
12027,42.6,25
13317,42.6,7
13303,42.6,12
42121,42.5,38
54051,42.5,22
13083,42.5,10
36057,42.5,31
17173,42.4,15
51053,42.4,18
39025,42.4,120
17145,42.4,13
45001,42.4,17
21209,42.4,25
37031,42.4,54
22057,42.4,52
13275,42.3,28
26067,42.3,34
23003,42.3,52
51073,42.3,25
05011,42.3,6
37159,42.3,85
48223,42.3,22
28101,42.3,12
47051,42.3,27
01103,42.3,72
41065,42.3,18
47113,42.3,56
27115,42.3,21
37161,42.3,45
47103,42.2,23
20159,42.2,6
12053,42.2,166
48475,42.2,5
28061,42.2,10
48337,42.2,15
48181,42.2,80
19073,42.2,7
39029,42.2,68
17017,42.2,7
45009,42.2,9
45031,42.2,38
55113,42.1,16
36115,42.1,41
21021,42.1,18
39139,42.1,78
48193,42.1,7
01043,42.1,54
37053,42.0,17
39077,42.0,34
37015,42.0,12
21145,42.0,43
23019,42.0,94
05125,42.0,73
37193,42.0,46
37045,42.0,61
41019,42.0,86
19151,41.9,6
40131,41.9,53
28113,41.9,22
16061,41.9,3
17067,41.8,13
54067,41.8,18
13179,41.8,22
40087,41.8,21
13029,41.8,17
18169,41.8,21
36039,41.8,35
28003,41.8,21
26165,41.8,21
39003,41.7,59
